,DATASOURCE,DAYOFSERVICE,TRIPID,LINEID,ROUTEID,DIRECTION,PLANNEDTIME_ARR,PLANNEDTIME_DEP,ACTUALTIME_ARR,ACTUALTIME_DEP,BASIN,TENDERLOT,SUPPRESSED,JUSTIFICATIONID,LASTUPDATE,NOTE
4060,DB,10-OCT-18 00:00:00,8015705,39A,39A_40,1,47630,42600,47927.0,42552.0,BasDef,,,,23-OCT-18 06:57:21,",2429018,"
4061,DB,10-OCT-18 00:00:00,8016127,39A,39A_40,1,47030,42000,47588.0,42084.0,BasDef,,,,23-OCT-18 06:57:21,",2426066,"
4062,DB,10-OCT-18 00:00:00,8021345,39A,39A_40,1,41030,36000,40332.0,36015.0,BasDef,,,,23-OCT-18 06:57:21,",2418372,"
4229,DB,11-APR-18 00:00:00,6624428,39A,39A_43,2,25472,21000,26146.0,21007.0,BasDef,,,,20-APR-18 14:41:36,",2428415,"
4230,DB,11-APR-18 00:00:00,6626748,39A,39A_43,2,24872,20400,24271.0,20367.0,BasDef,,,,20-APR-18 14:41:36,",2425823,"
4231,DB,11-APR-18 00:00:00,6626539,39A,39A_43,2,23672,19200,24704.0,19207.0,BasDef,,,,20-APR-18 14:41:36,",2417830,"
4232,DB,11-APR-18 00:00:00,6615126,39A,39A_43,2,28472,24000,29665.0,24002.0,BasDef,,,,20-APR-18 14:41:36,",2426062,"
4233,DB,11-APR-18 00:00:00,6627739,39A,39A_43,2,29072,24600,30319.0,24654.0,BasDef,,,,20-APR-18 14:41:36,",2429014,"
4234,DB,11-APR-18 00:00:00,6620099,39A,39A_43,2,27272,22800,27989.0,22491.0,BasDef,,,,20-APR-18 14:41:36,",2429599,"
4235,DB,11-APR-18 00:00:00,6620569,39A,39A_43,2,26072,21600,26013.0,21599.0,BasDef,,,,20-APR-18 14:41:36,",2417707,"
4236,DB,11-APR-18 00:00:00,6617885,39A,39A_43,2,27872,23400,28642.0,23365.0,BasDef,,,,20-APR-18 14:41:36,",2417273,"
4301,DB,11-MAR-18 00:00:00,6396898,39A,39A_40,1,74728,70800,,70801.0,BasDef,,,,19-MAR-18 15:02:59,",2427021,"
4302,DB,11-MAR-18 00:00:00,6396899,39A,39A_43,2,79746,76500,80114.0,,BasDef,,,,19-MAR-18 15:02:59,",2427023,"
4567,DB,26-SEP-18 00:00:00,7761591,39A,39A_40,1,82873,79200,83369.0,79205.0,BasDef,,,,18-OCT-18 18:01:47,",2426075,"
4582,DB,26-SEP-18 00:00:00,7764722,39A,39A_43,2,42383,37800,42911.0,37723.0,BasDef,,,,18-OCT-18 18:01:47,",2419373,"
4590,DB,26-SEP-18 00:00:00,7758672,39A,39A_40,1,77702,73200,78006.0,73246.0,BasDef,,,,18-OCT-18 18:01:47,",2426312,"
4682,DB,26-JUN-18 00:00:00,7109978,39A,39A_40,1,32173,28200,33468.0,28167.0,BasDef,,,,04-JUL-18 12:21:00,",2426535,"
4691,DB,26-JUN-18 00:00:00,7104332,39A,39A_40,1,34111,29400,34873.0,29406.0,BasDef,,,,04-JUL-18 12:21:00,",2417274,"
4693,DB,26-JUN-18 00:00:00,7104500,39A,39A_40,1,55916,51000,56539.0,51014.0,BasDef,,,,04-JUL-18 12:21:00,",2425930,"
4710,DB,26-JUN-18 00:00:00,7103536,39A,39A_43,2,31373,26400,30843.0,,BasDef,,,,04-JUL-18 12:21:00,",2416628,"
