,DATE,temp,feels_like,temp_min,temp_max,pressure,humidity,Clear,Clouds,Drizzle,Fog,Mist,Rain,Smoke,Snow,DATES
41,2018-01-02 17:00:00,8.07,2.84,7.98,8.84,988,87,0,1,0,0,0,0,0,0,2018-01-02 17:00:00
42,2018-01-02 18:00:00,9.34,5.11,8.34,10.0,984,87,0,0,0,0,0,1,0,0,2018-01-02 18:00:00
43,2018-01-02 19:00:00,10.48,-0.17,9.88,11.0,982,82,0,1,0,0,0,0,0,0,2018-01-02 19:00:00
44,2018-01-02 20:00:00,8.86,-5.09,8.0,11.01,983,71,0,1,0,0,0,0,0,0,2018-01-02 20:00:00
45,2018-01-02 21:00:00,8.06,-6.21,7.51,9.02,983,76,0,1,0,0,0,0,0,0,2018-01-02 21:00:00
46,2018-01-02 22:00:00,6.56,-6.53,5.75,7.5,983,76,0,1,0,0,0,0,0,0,2018-01-02 22:00:00
47,2018-01-02 23:00:00,5.68,-5.78,5.0,7.11,984,87,0,0,0,0,0,1,0,0,2018-01-02 23:00:00
48,2018-01-03 00:00:00,5.18,-3.85,5.0,6.66,985,87,0,0,0,0,0,1,0,0,2018-01-03 00:00:00
49,2018-01-03 01:00:00,5.14,-5.51,4.96,6.56,985,81,0,1,0,0,0,0,0,0,2018-01-03 01:00:00
50,2018-01-03 02:00:00,5.16,-6.39,5.0,6.69,986,87,0,1,0,0,0,0,0,0,2018-01-03 02:00:00
51,2018-01-03 03:00:00,5.53,-5.24,4.97,6.73,987,87,0,0,0,0,0,1,0,0,2018-01-03 03:00:00
52,2018-01-03 04:00:00,5.18,-6.01,5.0,6.78,988,87,0,0,0,0,0,1,0,0,2018-01-03 04:00:00
53,2018-01-03 05:00:00,5.19,-3.83,5.0,6.9,989,87,0,1,0,0,0,0,0,0,2018-01-03 05:00:00
54,2018-01-03 06:00:00,6.03,-2.84,5.7,6.85,989,87,0,0,0,0,0,1,0,0,2018-01-03 06:00:00
55,2018-01-03 07:00:00,6.15,-6.49,6.0,7.66,990,81,0,1,0,0,0,0,0,0,2018-01-03 07:00:00
56,2018-01-03 08:00:00,7.0,-4.41,6.11,7.79,992,81,0,1,0,0,0,0,0,0,2018-01-03 08:00:00
57,2018-01-03 09:00:00,6.99,-3.15,6.09,7.78,993,76,0,1,0,0,0,0,0,0,2018-01-03 09:00:00
58,2018-01-03 10:00:00,6.61,-3.59,6.0,7.65,994,76,0,1,0,0,0,0,0,0,2018-01-03 10:00:00
59,2018-01-03 11:00:00,7.09,-3.03,6.96,8.01,995,76,0,1,0,0,0,0,0,0,2018-01-03 11:00:00
60,2018-01-03 12:00:00,7.13,-2.45,7.0,8.37,995,81,0,0,0,0,0,1,0,0,2018-01-03 12:00:00
61,2018-01-03 13:00:00,8.01,-2.67,7.38,8.68,996,76,0,0,0,0,0,1,0,0,2018-01-03 13:00:00
62,2018-01-03 14:00:00,8.01,-2.3,7.33,8.7,996,76,0,0,0,0,0,1,0,0,2018-01-03 14:00:00
63,2018-01-03 15:00:00,7.62,-3.13,7.0,8.59,996,76,0,0,0,0,0,1,0,0,2018-01-03 15:00:00
64,2018-01-03 16:00:00,8.0,-3.04,7.34,8.61,996,76,0,1,0,0,0,0,0,0,2018-01-03 16:00:00
65,2018-01-03 17:00:00,8.01,-2.67,7.67,8.52,996,76,0,1,0,0,0,0,0,0,2018-01-03 17:00:00
66,2018-01-03 18:00:00,7.04,-2.56,6.7,7.9,997,81,0,1,0,0,0,0,0,0,2018-01-03 18:00:00
67,2018-01-03 19:00:00,7.03,-2.94,6.56,7.78,997,81,0,1,0,0,0,0,0,0,2018-01-03 19:00:00
68,2018-01-03 20:00:00,7.04,-2.2,6.24,8.13,996,81,0,1,0,0,0,0,0,0,2018-01-03 20:00:00
69,2018-01-03 21:00:00,7.01,-1.32,6.08,7.93,996,76,0,1,0,0,0,0,0,0,2018-01-03 21:00:00
70,2018-01-03 22:00:00,6.05,-2.65,5.64,7.06,996,81,0,1,0,0,0,0,0,0,2018-01-03 22:00:00
71,2018-01-03 23:00:00,6.07,-1.18,5.28,7.4,996,81,0,1,0,0,0,0,0,0,2018-01-03 23:00:00
72,2018-01-04 00:00:00,6.06,0.07,5.31,7.29,996,87,0,1,0,0,0,0,0,0,2018-01-04 00:00:00
73,2018-01-04 01:00:00,6.03,0.76,5.09,7.1,995,87,0,1,0,0,0,0,0,0,2018-01-04 01:00:00
74,2018-01-04 02:00:00,5.59,-1.02,4.78,6.83,994,81,0,0,0,0,0,1,0,0,2018-01-04 02:00:00
75,2018-01-04 03:00:00,4.22,0.95,4.0,6.44,993,93,0,0,0,0,0,1,0,0,2018-01-04 03:00:00
76,2018-01-04 04:00:00,4.1,-0.99,3.61,5.55,991,93,0,0,0,0,0,1,0,0,2018-01-04 04:00:00
77,2018-01-04 05:00:00,4.17,-1.63,3.99,6.18,988,93,0,0,1,0,0,0,0,0,2018-01-04 05:00:00
78,2018-01-04 06:00:00,5.25,-2.87,5.0,7.77,985,93,0,0,1,0,0,0,0,0,2018-01-04 06:00:00
79,2018-01-04 07:00:00,7.02,0.57,5.0,9.0,984,100,0,1,0,0,0,0,0,0,2018-01-04 07:00:00
80,2018-01-04 08:00:00,7.69,4.99,6.0,10.01,983,100,0,0,0,0,0,1,0,0,2018-01-04 08:00:00
81,2018-01-04 09:00:00,9.47,4.18,8.74,10.22,982,87,0,0,0,0,0,1,0,0,2018-01-04 09:00:00
82,2018-01-04 10:00:00,9.04,3.3,8.42,9.92,983,87,0,1,0,0,0,0,0,0,2018-01-04 10:00:00
83,2018-01-04 11:00:00,5.22,-8.48,5.0,7.19,986,87,0,1,0,0,0,0,0,0,2018-01-04 11:00:00
84,2018-01-04 12:00:00,4.61,-7.76,4.0,5.94,988,87,0,1,0,0,0,0,0,0,2018-01-04 12:00:00
85,2018-01-04 13:00:00,6.01,-4.14,5.9,6.36,990,81,0,1,0,0,0,0,0,0,2018-01-04 13:00:00
86,2018-01-04 14:00:00,6.55,-3.66,6.0,7.05,991,76,0,1,0,0,0,0,0,0,2018-01-04 14:00:00
87,2018-01-04 15:00:00,6.12,-2.57,5.97,7.32,991,81,0,1,0,0,0,0,0,0,2018-01-04 15:00:00
88,2018-01-04 16:00:00,5.67,-2.91,5.0,7.09,992,75,0,1,0,0,0,0,0,0,2018-01-04 16:00:00
89,2018-01-04 17:00:00,5.16,-1.52,4.95,6.85,991,81,0,1,0,0,0,0,0,0,2018-01-04 17:00:00
90,2018-01-04 18:00:00,5.12,-2.84,4.72,6.62,991,87,0,1,0,0,0,0,0,0,2018-01-04 18:00:00
91,2018-01-04 19:00:00,5.07,-1.63,4.33,6.45,991,81,0,1,0,0,0,0,0,0,2018-01-04 19:00:00
92,2018-01-04 20:00:00,4.2,-1.03,3.94,6.28,991,87,0,1,0,0,0,0,0,0,2018-01-04 20:00:00
